							
#	CDB path	FileSize (Run2)	Validity (s)	DCS data	To Remove	Comment	
	TRD/Calib/trd_hvAnodeImon	7748686	28800			HV currents / voltages needs further discussion	
	TRD/Calib/trd_hvAnodeUmon	43528	28800			where do Marian's currents go?	
	TRD/Calib/trd_hvDriftImon	59798	28800				
	TRD/Calib/trd_hvDriftUmon	36353	28800				
	TRD/Calib/TrkAttach	12516	28800			???	
							
	TOF/Align/Data	79624	1.00E+09			OK	
	TOF/Calib/ConfigNoise	299	28800			OK (non 100% sure)	
	TOF/Calib/Config	371	1.00E+09		???	To be discussed	
#	TOF/Calib/CTPLatency	241	28800		Yes	Obsolete	
#	TOF/Calib/DeltaBCOffset	252	600		Yes	Obsolete	
	TOF/Calib/FineSlewing	10027254	28800			OK - now in CalibTimeSlewingParamTOF	
	TOF/Calib/HW	26678	600			OK - moved to ChannelStatus (to be defined)	
	TOF/Calib/Noise	26680	3600			merged with ChannelStatus	
	TOF/Calib/ParOffline	751933	28800			merged with CalibTimeSlewingParamTOF	
#	TOF/Calib/ParOnlineDelay	540738	28800		Yes	Obsolete	
#	TOF/Calib/ParOnline	32043	28800		Yes	Obsolete	
	TOF/Calib/Problematic	2921	28800			OK (only in part covered by calibration)	
#	TOF/Calib/Pulser	26688	28800		Yes	Obsolete	
	TOF/Calib/ReadoutEfficiency	17555	28800			OK (to be added in calibration chain, full dataset, online, no tracking)	
	TOF/Calib/RecoParam	384	1.00E+09			OK	
	TOF/Calib/RunParams	517	28800			Ok - now in CalibLHCphaseTOF	
	TOF/Calib/Status	7807	600			merged with ChannelStatus	
#	TOF/Calib/T0FillOnlineCalib	276	28800		Yes	Obsolete	
#	TOF/Calib/T0Fill	231	28800		Yes	Obsolete	
							
	EMC/Align/Data	1185	1.00E+09				
	EMC/Calib/BadChannels	4633	1.00E+09				
	EMC/Calib/Data	4621	28800				
	EMC/Calib/Mapping	9327	1.00E+09				
	EMC/Calib/PeakFinder	17239	1.00E+09				
	EMC/Calib/Pedestals	70701	28800				
	EMC/Calib/RecoParam	1800	1.00E+09				
	EMC/Calib/SimParam	309	1.00E+09				
	EMC/Calib/Time	2777	28800				
	EMC/Calib/Trigger	370	28800				
	EMC/Config/Preprocessor	355	28800				
	EMC/Config/Temperature	1603	600				
							
	PHS/Align/Data	618	1.00E+09				
	PHS/Calib/GainPedestals	131459	28800				
	PHS/Calib/BadChannels	1124	1.00E+09				
	PHS/Calib/RecoParam	528	1.00E+09				
	PHS/Calib/Mapping	73643	1.00E+09				
	PHS/Calib/Time	10000	1.00E+09				
							
	CPV/Align/Data	618	1.00E+09				
	CPV/Calib/GainPedestals	131459	28800				
	CPV/Calib/BadChannels	1124	1.00E+09				
	CPV/Calib/RecoParam	528	1.00E+09				
	CPV/Calib/Mapping	73643	1.00E+09				
	CPV/Calib/Time	10000	1.00E+09				
							
	HMP/Align/Data	538	1.00E+09				
	HMP/Calib/RecoParam	403	1.00E+09				
	HMP/Calib/Masked	3450	28800				
	HMP/Calib/NoiseMap	159104	28800				
	HMP/Calib/DaqSig	3450	28800				
	HMP/Calib/Nmean	2804	28800				
	HMP/Calib/QeMap	7797	28800				
	HMP/Calib/Qthre	2320	28800				
							
	MCH/Align/Baseline	6465	1.00E+09				
	MCH/Align/Data	19696	1.00E+09				
	MCH/Calib/Pedestals	6743530	28800			on the long term we in principle do not need the pedestals (as the subtraction is done in sampa chips), but I would keep them here at least at the beginning for monitoring purposes	
	MCH/Calib/BPEVO	258083	1.00E+09		?	unclear atm if/how the Run3 equivalent of this information will be used 	
#	MCH/Calib/Capacitances	7304542	1.00E+09		X	no longer have gain calibration, so this can go	
	MCH/Calib/Config	72271	28800	X			
#	MCH/Calib/Gains	9876740	28800		X	no longer have gain calibration, so this can go	
	MCH/Calib/HV	9011	600	X			
	MCH/Calib/LV	7765	600	X			
#	MCH/Calib/MappingData	1202122	1.00E+09		X	assumption now is that detection mapping is not changing at all (or very very infrequently), so it's now embedded in the code	
	MCH/Calib/MappingRunData	94374	28800			while the mapping on the detector side should be fixed, the "electronic" (e.g. cru<->solar) mapping might evolve, so I would keep this one (might be renamed of course)	
	MCH/Calib/Neighbours	10912490	1.00E+09		?		
	MCH/Calib/OccupancyMap	207825	28800				
	MCH/Calib/RecoParam	589	1.00E+09				
	MCH/Calib/RejectList	2159	28800				
							
	MID/Align/Data	19696	1.00E+09			Did not exist in Run2 (it was for MCH). Might exist in Run3, but not clear yet	
#	MID/Calib/RegionalTriggerBoardMasks	1511	1.00E+09		yes		
	MID/Calib/RegionalTriggerConfig	1533	1.00E+09			To be modified	
	MCH/Calib/LocalTriggerBoardMasks	1358	1.00E+09				
#	MID/Calib/GlobalTriggerBoardMasks	548	1.00E+09		yes		
	MID/Calib/GlobalTriggerCrateConfig	499	1.00E+09			To be modified	
#	MID/Calib/TriggerDCS	33209	28800		yes		
	MID/Calib/TriggerEfficiency	12461	28800				
#	MID/Calib/TriggerLut	48262	28800		yes		
	MID/Calib/TriggerScalers	41283	28800				
							
#	ZDC/Align/Data	404	1.00E+09		yes	Never used in Run1-2 reconstruction nor simulation!	
	ZDC/Calib/ChMap	698	28800		will be modified	Same info is present in ZDC/Config/Module. Should we keep both? Which should be used in reconstruction?	
	ZDC/Calib/EnergyCalib	303	28800		will be modified		
	ZDC/Calib/LaserCalib	534	28800		?	Never used in Run1-2 (issues with laser coupling)	
#	ZDC/Calib/MBCalib	17455	28800		x		
	ZDC/Calib/Pedestals	1454	28800		will be modified		
	ZDC/Calib/RecoParam	1250	1.00E+09			In the end it wasn not used in reconstruction (in Run 3 we foresee some reconstruction parameters that could go here)	RS: we do not some recoparam
#	ZDC/Calib/SaturationCalib	281	28800		x		
	ZDC/Calib/TDCCalib	357	28800		will be modified	First version developed	
	ZDC/Calib/TowerCalib	277	28800		will be modified		
							
							
	FT0/Align/Data	24	1.00E+09			FileSize in bytes?	
	FT0/Calib/ChargeEqualization	832	3600			Done by laser	
	FT0/Calib/LightYields	832	1.00E+09				
	FT0/Calib/PMGains	832	3600				
#	FT0/Calib/PMTrends	3209	3600		Perhaps not needed?		
	FT0/Calib/PulseShapes	4160	1.00E+09			Crystalball-like parameters, for digitization	
	FT0/Calib/RecoParam	200	1.00E+09			Validity for a collision system	
	FT0/Calib/Saturation	832	3600			Needed for simulation only, changing at the HV change	
	FT0/Calib/Thresholds	832	1.00E+09			Needed for simulation only	
	FT0/Calib/TimeDelays	1664	600				
	FT0/Calib/TimeSlewing	3328000	2.88E+04			Changed only on demand (QC), filesize very rough (overestimated)	
	FT0/Calib/GlobalDelays	12	3600				
							
	FV0/Align/Data	12	1.00E+09				
	FV0/Calib/ChargeEqualization	192	3600				
	FV0/Calib/LightYields	192	1.00E+09				
	FV0/Calib/PMGains	192	3600				
#	FV0/Calib/PMTrends	3209	3600		Perhaps not needed?		
	FV0/Calib/PulseShapes	2880	1.00E+09				
	FV0/Calib/RecoParam	200	1.00E+09				
	FV0/Calib/Saturation	192	3600				
	FV0/Calib/Thresholds	192	1.00E+09				
	FV0/Calib/TimeDelays	384	600				
	FV0/Calib/TimeSlewing	768000	2.88E+04		Perhaps not needed?		
							
	FDD/Align/Data	24	1.00E+09				
	FDD/Calib/ChargeEqualization	64	3600				
	FDD/Calib/LightYields	64	1.00E+09				
	FDD/Calib/PMGains	64	3600				
#	FDD/Calib/PMTrends	3209	3600		Perhaps not needed?		
	FDD/Calib/PulseShapes	960	1.00E+09				
	FDD/Calib/RecoParam	200	1.00E+09				
	FDD/Calib/Saturation	64	3600				
	FDD/Calib/Thresholds	64	1.00E+09				
	FDD/Calib/TimeDelays	128	600				
	FDD/Calib/TimeSlewing	256000	2.88E+04		Perhaps not needed?		
							
	GRP/GRP/Data	1760	3600				
	GRP/GRP/LHCData	235537	600				
	GRP/Calib/LHCClockPhase	369	60				
	GRP/Calib/MeanVertex	321	600				
	GRP/Calib/RecoParam	920	1.00E+09				
	GRP/CTP/Aliases	558	28800				
	GRP/CTP/Config	4908	28800				
	GRP/CTP/CTPtiming	699	28800				
	GRP/CTP/Scalers	104057	600				
	GRP/CTP/LTUConfig	401	28800				
