channel#	PM	PM_channel	HV_board	HV_channel	MCP_S/N	HV_cable	signal_cable	
75	A6	PMA6/Ch04	A-In	HVAI/07	????	FTA-B2	FTA-B2-?	
76	A6	PMA6/Ch05	A-In	HVAI/02	????	FTA-A2	FTA-A2-?	
77	A6	PMA6/Ch06	A-In	HVAI/02	????	FTA-A2	FTA-A2-?	
78	A6	PMA6/Ch07	A-In	HVAI/02	????	FTA-A2	FTA-A2-?	
79	A6	PMA6/Ch08	A-In	HVAI/02	????	FTA-A2	FTA-A2-?	
80	A6	PMA6/Ch09	A-In	HVAI/01	????	FTA-A1	FTA-A1-?	
81	A6	PMA6/Ch10	A-In	HVAI/01	????	FTA-A1	FTA-A1-?	
82	A6	PMA6/Ch11	A-In	HVAI/01	????	FTA-A1	FTA-A1-?	
83	A6	PMA6/Ch12	A-In	HVAI/01	????	FTA-A1	FTA-A1-?	
84	A7	PMA7/Ch01	A-In	HVAI/12	????	FTA-C2	FTA-C2-?	
85	A7	PMA7/Ch02	A-In	HVAI/12	????	FTA-C2	FTA-C2-?	
86	A7	PMA7/Ch03	A-In	HVAI/12	????	FTA-C2	FTA-C2-?	
87	A7	PMA7/Ch04	A-In	HVAI/12	????	FTA-C2	FTA-C2-?	
88	A7	PMA7/Ch05	A-In	HVAI/06	????	FTA-B1	FTA-B1-?	
89	A7	PMA7/Ch06	A-In	HVAI/06	????	FTA-B1	FTA-B1-?	
90	A7	PMA7/Ch07	A-In	HVAI/06	????	FTA-B1	FTA-B1-?	
91	A7	PMA7/Ch08	A-In	HVAI/06	????	FTA-B1	FTA-B1-?	
92	A7	PMA7/Ch09	A-In	HVAI/11	????	FTA-C1	FTA-C1-?	
93	A7	PMA7/Ch10	A-In	HVAI/11	????	FTA-C1	FTA-C1-?	
94	A7	PMA7/Ch11	A-In	HVAI/11	????	FTA-C1	FTA-C1-?	
95	A7	PMA7/Ch12	A-In	HVAI/11	????	FTA-C1	FTA-C1-?	
96	C0	PMC0/Ch01	C-Up	HVCU/04	2119	FTC-B3	FTC-B3-2	
97	C0	PMC0/Ch02	C-Up	HVCU/04	2119	FTC-B3	FTC-B3-1	
98	C0	PMC0/Ch03	C-Up	HVCU/04	2119	FTC-B3	FTC-B3-3	
99	C0	PMC0/Ch04	C-Up	HVCU/04	2119	FTC-B3	FTC-B3-4	
100	C0	PMC0/Ch05	C-Up	HVCU/02	2147	FTC-A3	FTC-A3-2	
101	C0	PMC0/Ch06	C-Up	HVCU/02	2147	FTC-A3	FTC-A3-1	
102	C0	PMC0/Ch07	C-Up	HVCU/02	2147	FTC-A3	FTC-A3-3	
103	C0	PMC0/Ch08	C-Up	HVCU/02	2147	FTC-A3	FTC-A3-4	
104	C0	PMC0/Ch09	C-Up	HVCU/01	2129	FTC-A2	FTC-A2-2	
105	C0	PMC0/Ch10	C-Up	HVCU/01	2129	FTC-A2	FTC-A2-1	
106	C0	PMC0/Ch11	C-Up	HVCU/01	2129	FTC-A2	FTC-A2-3	
107	C0	PMC0/Ch12	C-Up	HVCU/01	2129	FTC-A2	FTC-A2-4	
108	C1	PMC1/Ch01	C-Up	HVCU/06	2123	FTC-C2	FTC-C2-1	
109	C1	PMC1/Ch02	C-Up	HVCU/06	2123	FTC-C2	FTC-C2-2	
110	C1	PMC1/Ch03	C-Up	HVCU/06	2123	FTC-C2	FTC-C2-4	
111	C1	PMC1/Ch04	C-Up	HVCU/06	2123	FTC-C2	FTC-C2-3	
112	C1	PMC1/Ch05	C-Up	HVCU/05	2127	FTC-C1	FTC-C1-1	
113	C1	PMC1/Ch06	C-Up	HVCU/05	2127	FTC-C1	FTC-C1-2	
114	C1	PMC1/Ch07	C-Up	HVCU/05	2127	FTC-C1	FTC-C1-4	
115	C1	PMC1/Ch08	C-Up	HVCU/05	2127	FTC-C1	FTC-C1-3	
116	C1	PMC1/Ch09	C-Up	HVCU/03	2118	FTC-B1	FTC-B1-2	
117	C1	PMC1/Ch10	C-Up	HVCU/03	2118	FTC-B1	FTC-B1-3	
118	C1	PMC1/Ch11	C-Up	HVCU/03	2118	FTC-B1	FTC-B1-1	
119	C1	PMC1/Ch12	C-Up	HVCU/03	2118	FTC-B1	FTC-B1-4	
120	C2	PMC2/Ch01	C-Up	HVCU/08	2128	FTC-D2	FTC-D2-4	
121	C2	PMC2/Ch02	C-Up	HVCU/08	2128	FTC-D2	FTC-D2-3	
122	C2	PMC2/Ch03	C-Up	HVCU/08	2128	FTC-D2	FTC-D2-1	
123	C2	PMC2/Ch04	C-Up	HVCU/08	2128	FTC-D2	FTC-D2-2	
124	C2	PMC2/Ch05	C-Up	HVCU/07	2145	FTC-D1	FTC-D1-4	
125	C2	PMC2/Ch06	C-Up	HVCU/07	2145	FTC-D1	FTC-D1-3	
126	C2	PMC2/Ch07	C-Up	HVCU/07	2145	FTC-D1	FTC-D1-1	
127	C2	PMC2/Ch08	C-Up	HVCU/07	2145	FTC-D1	FTC-D1-2	
128	C2	PMC2/Ch09	C-Up	HVCU/09	2125	FTC-E1	FTC-E1-2	
129	C2	PMC2/Ch10	C-Up	HVCU/09	2125	FTC-E1	FTC-E1-1	
130	C2	PMC2/Ch11	C-Up	HVCU/09	2125	FTC-E1	FTC-E1-3	
131	C2	PMC2/Ch12	C-Up	HVCU/09	2125	FTC-E1	FTC-E1-4	
132	C3	PMC3/Ch01	C-Up	HVCU/10	2130	FTC-E3	FTC-E3-1	
133	C3	PMC3/Ch02	C-Up	HVCU/10	2130	FTC-E3	FTC-E3-2	
134	C3	PMC3/Ch03	C-Up	HVCU/10	2130	FTC-E3	FTC-E3-4	
135	C3	PMC3/Ch04	C-Up	HVCU/10	2130	FTC-E3	FTC-E3-3	
136	C3	PMC3/Ch05	C-Up	HVCU/12	2149	FTC-F3	FTC-F3-1	
137	C3	PMC3/Ch06	C-Up	HVCU/12	2149	FTC-F3	FTC-F3-2	
138	C3	PMC3/Ch07	C-Up	HVCU/12	2149	FTC-F3	FTC-F3-4	
139	C3	PMC3/Ch08	C-Up	HVCU/12	2149	FTC-F3	FTC-F3-3	
140	C3	PMC3/Ch09	C-Up	HVCU/11	2134	FTC-F2	FTC-F2-1	
141	C3	PMC3/Ch10	C-Up	HVCU/11	2134	FTC-F2	FTC-F2-2	
142	C3	PMC3/Ch11	C-Up	HVCU/11	2134	FTC-F2	FTC-F2-4	
143	C3	PMC3/Ch12	C-Up	HVCU/11	2134	FTC-F2	FTC-F2-3	
144	C4	PMC4/Ch01	C-Down	HVCD/09	2137	FTC-E4	FTC-E4-2	
145	C4	PMC4/Ch02	C-Down	HVCD/09	2137	FTC-E4	FTC-E4-1	
146	C4	PMC4/Ch03	C-Down	HVCD/09	2137	FTC-E4	FTC-E4-3	
147	C4	PMC4/Ch04	C-Down	HVCD/09	2137	FTC-E4	FTC-E4-4	
148	C4	PMC4/Ch05	C-Down	HVCD/11	2152	FTC-F4	FTC-F4-2	
149	C4	PMC4/Ch06	C-Down	HVCD/11	2152	FTC-F4	FTC-F4-1	
150	C4	PMC4/Ch07	C-Down	HVCD/11	2152	FTC-F4	FTC-F4-3	
151	C4	PMC4/Ch08	C-Down	HVCD/11	2152	FTC-F4	FTC-F4-4	
152	C4	PMC4/Ch09	C-Down	HVCD/12	2142	FTC-F5	FTC-F5-2	
153	C4	PMC4/Ch10	C-Down	HVCD/12	2142	FTC-F5	FTC-F5-1	
154	C4	PMC4/Ch11	C-Down	HVCD/12	2142	FTC-F5	FTC-F5-3	
155	C4	PMC4/Ch12	C-Down	HVCD/12	2142	FTC-F5	FTC-F5-4	
156	C5	PMC5/Ch01	C-Down	HVCD/07	2157	FTC-D5	FTC-D5-1	
157	C5	PMC5/Ch02	C-Down	HVCD/07	2157	FTC-D5	FTC-D5-2	
158	C5	PMC5/Ch03	C-Down	HVCD/07	2157	FTC-D5	FTC-D5-4	
159	C5	PMC5/Ch04	C-Down	HVCD/07	2157	FTC-D5	FTC-D5-3	
160	C5	PMC5/Ch05	C-Down	HVCD/08	2167	FTC-D6	FTC-D6-1	
161	C5	PMC5/Ch06	C-Down	HVCD/08	2167	FTC-D6	FTC-D6-2	
162	C5	PMC5/Ch07	C-Down	HVCD/08	2167	FTC-D6	FTC-D6-4	
163	C5	PMC5/Ch08	C-Down	HVCD/08	2167	FTC-D6	FTC-D6-3	
164	C5	PMC5/Ch09	C-Down	HVCD/10	2165	FTC-E6	FTC-E6-2	
165	C5	PMC5/Ch10	C-Down	HVCD/10	2165	FTC-E6	FTC-E6-3	
166	C5	PMC5/Ch11	C-Down	HVCD/10	2165	FTC-E6	FTC-E6-1	
167	C5	PMC5/Ch12	C-Down	HVCD/10	2165	FTC-E6	FTC-E6-4	
168	C6	PMC6/Ch01	C-Down	HVCD/05	2148	FTC-C5	FTC-C5-4	
169	C6	PMC6/Ch02	C-Down	HVCD/05	2148	FTC-C5	FTC-C5-3	
170	C6	PMC6/Ch03	C-Down	HVCD/05	2148	FTC-C5	FTC-C5-1	
171	C6	PMC6/Ch04	C-Down	HVCD/05	2148	FTC-C5	FTC-C5-2	
172	C6	PMC6/Ch05	C-Down	HVCD/06	2162	FTC-C6	FTC-C6-4	
173	C6	PMC6/Ch06	C-Down	HVCD/06	2162	FTC-C6	FTC-C6-3	
174	C6	PMC6/Ch07	C-Down	HVCD/06	2162	FTC-C6	FTC-C6-1	
175	C6	PMC6/Ch08	C-Down	HVCD/06	2162	FTC-C6	FTC-C6-2	
176	C6	PMC6/Ch09	C-Down	HVCD/04	2144	FTC-B6	FTC-B6-2	
177	C6	PMC6/Ch10	C-Down	HVCD/04	2144	FTC-B6	FTC-B6-1	
178	C6	PMC6/Ch11	C-Down	HVCD/04	2144	FTC-B6	FTC-B6-3	
179	C6	PMC6/Ch12	C-Down	HVCD/04	2144	FTC-B6	FTC-B6-4	
180	C7	PMC7/Ch01	C-Down	HVCD/03	2136	FTC-B4	FTC-B4-1	
181	C7	PMC7/Ch02	C-Down	HVCD/03	2136	FTC-B4	FTC-B4-2	
182	C7	PMC7/Ch03	C-Down	HVCD/03	2136	FTC-B4	FTC-B4-4	
183	C7	PMC7/Ch04	C-Down	HVCD/03	2136	FTC-B4	FTC-B4-3	
184	C7	PMC7/Ch05	C-Down	HVCD/01	2151	FTC-A4	FTC-A4-1	
185	C7	PMC7/Ch06	C-Down	HVCD/01	2151	FTC-A4	FTC-A4-2	
186	C7	PMC7/Ch07	C-Down	HVCD/01	2151	FTC-A4	FTC-A4-4	
187	C7	PMC7/Ch08	C-Down	HVCD/01	2151	FTC-A4	FTC-A4-3	
188	C7	PMC7/Ch09	C-Down	HVCD/02	2141	FTC-A5	FTC-A5-1	
189	C7	PMC7/Ch10	C-Down	HVCD/02	2141	FTC-A5	FTC-A5-2	
190	C7	PMC7/Ch11	C-Down	HVCD/02	2141	FTC-A5	FTC-A5-4	
191	C7	PMC7/Ch12	C-Down	HVCD/02	2141	FTC-A5	FTC-A5-3	
192	C8	PMC8/Ch01	C-Mid	HVCM/01	2121	FTC-B2	FTC-B2-2	
193	C8	PMC8/Ch02	C-Mid	HVCM/01	2121	FTC-B2	FTC-B2-3	
194	C8	PMC8/Ch03	C-Mid	HVCM/01	2121	FTC-B2	FTC-B2-1	
195	C8	PMC8/Ch04	C-Mid	HVCM/01	2121	FTC-B2	FTC-B2-4	
196	C8	PMC8/Ch05	C-Mid	HVCM/02	2133	FTC-E2	FTC-E2-1	
197	C8	PMC8/Ch06	C-Mid	HVCM/02	2133	FTC-E2	FTC-E2-2	
198	C8	PMC8/Ch07	C-Mid	HVCM/02	2133	FTC-E2	FTC-E2-4	
199	C8	PMC8/Ch08	C-Mid	HVCM/02	2133	FTC-E2	FTC-E2-3	
200	C8	PMC8/Ch09	N/A	N/A	N/A	N/A	N/A	
201	C8	PMC8/Ch10	N/A	N/A	N/A	N/A	N/A	
202	C8	PMC8/Ch11	N/A	N/A	N/A	N/A	N/A	
203	C8	PMC8/Ch12	N/A	N/A	N/A	N/A	N/A	
204	C9	PMC9/Ch01	C-Mid	HVCM/03	2158	FTC-E5	FTC-E5-2	
205	C9	PMC9/Ch02	C-Mid	HVCM/03	2158	FTC-E5	FTC-E5-3	
206	C9	PMC9/Ch03	C-Mid	HVCM/03	2158	FTC-E5	FTC-E5-1	
207	C9	PMC9/Ch04	C-Mid	HVCM/03	2158	FTC-E5	FTC-E5-4	
208	C9	PMC9/Ch05	C-Mid	HVCM/04	2143	FTC-B5	FTC-B5-1	
209	C9	PMC9/Ch06	C-Mid	HVCM/04	2143	FTC-B5	FTC-B5-2	
210	C9	PMC9/Ch07	C-Mid	HVCM/04	2143	FTC-B5	FTC-B5-4	
211	C9	PMC9/Ch08	C-Mid	HVCM/04	2143	FTC-B5	FTC-B5-3	
212	C9	PMC9/Ch09	N/A	N/A	N/A	N/A	N/A	
213	C9	PMC9/Ch10	N/A	N/A	N/A	N/A	N/A	
214	C9	PMC9/Ch11	N/A	N/A	N/A	N/A	N/A	
215	C9	PMC9/Ch12	N/A	N/A	N/A	N/A	N/A	
216	A9	PMA9/Ch01	C-Mid	HVCM/12	????	FT0-LCS	FTA-LCS	
217	A9	PMA9/Ch02	C-Mid	HVCM/12	????	FT0-LCS	FTA-LCS-H	
218	A9	PMA9/Ch03	C-Mid	HVCM/12	????	FT0-LCS	FTC-LCS	
219	A9	PMA9/Ch04	C-Mid	HVCM/12	????	FT0-LCS	FTC-LCS-H	
								
								
								
								
